,date,close
0,2022-10-05,166.12
1,2022-09-30,161.8
2,2022-09-23,168.74
3,2022-09-16,174.16
4,2022-09-09,168.62
5,2022-09-02,172.36
6,2022-08-26,170.58
7,2022-08-19,176.02
8,2022-08-12,181.08
9,2022-08-05,176.64
10,2022-07-29,177.32
11,2022-07-22,174.12
12,2022-07-15,173.0
13,2022-07-08,180.28
14,2022-07-01,182.0
15,2022-06-24,181.2
16,2022-06-17,183.44
17,2022-06-10,182.5
18,2022-06-03,195.18
19,2022-05-27,200.2
20,2022-05-20,195.58
21,2022-05-13,200.4
22,2022-05-06,195.7
23,2022-04-29,216.2
24,2022-04-22,219.2
25,2022-04-14,219.1
26,2022-04-08,216.95
27,2022-04-01,218.0
28,2022-03-25,213.3
29,2022-03-18,211.9
30,2022-03-11,203.75
31,2022-03-04,188.56
32,2022-02-25,207.45
33,2022-02-18,214.1
34,2022-02-11,229.55
35,2022-02-04,222.25
36,2022-01-28,227.8
37,2022-01-21,221.7
38,2022-01-14,227.0
39,2022-01-07,222.55
40,2021-12-30,207.65
41,2021-12-23,207.0
42,2021-12-17,204.7
43,2021-12-10,202.75
44,2021-12-03,198.38
45,2021-11-26,191.44
46,2021-11-19,202.75
47,2021-11-12,205.3
48,2021-11-05,203.5
49,2021-10-29,201.15
50,2021-10-22,198.76
51,2021-10-15,198.6
52,2021-10-08,198.58
53,2021-10-01,195.3
54,2021-09-24,192.34
55,2021-09-17,190.78
56,2021-09-10,193.26
57,2021-09-03,196.68
58,2021-08-27,199.0
59,2021-08-20,198.72
60,2021-08-13,201.65
61,2021-08-06,197.72
62,2021-07-30,210.0
63,2021-07-23,210.5
64,2021-07-16,208.95
65,2021-07-09,212.1
66,2021-07-02,212.85
67,2021-06-25,214.65
68,2021-06-18,217.3
69,2021-06-11,217.4
70,2021-06-04,218.65
71,2021-05-28,217.75
72,2021-05-21,216.5
73,2021-05-14,217.3
74,2021-05-07,214.35
75,2021-04-30,216.4
76,2021-04-23,216.4
77,2021-04-16,218.75
78,2021-04-09,218.75
79,2021-04-01,217.2
80,2021-03-26,213.25
81,2021-03-19,214.75
82,2021-03-12,213.9
83,2021-03-05,207.65
84,2021-02-26,199.8
85,2021-02-19,195.38
86,2021-02-12,195.54
87,2021-02-05,195.7
88,2021-01-29,186.52
89,2021-01-22,195.28
90,2021-01-15,202.15
91,2021-01-08,205.75
92,2020-12-30,200.7
93,2020-12-23,199.88
94,2020-12-18,199.98
95,2020-12-11,191.16
96,2020-12-04,198.58
97,2020-11-27,198.14
98,2020-11-20,195.4
99,2020-11-13,190.94
100,2020-11-06,168.06
101,2020-10-30,151.06
102,2020-10-23,163.42
103,2020-10-16,163.7
104,2020-10-09,168.14
105,2020-10-02,162.8
106,2020-09-25,161.98
107,2020-09-18,178.46
108,2020-09-11,183.02
109,2020-09-04,178.68
110,2020-08-28,185.72
111,2020-08-21,179.22
112,2020-08-14,182.02
113,2020-08-07,177.72
114,2020-07-31,176.22
115,2020-07-24,183.64
116,2020-07-17,185.52
117,2020-07-10,182.68
118,2020-07-03,184.14
119,2020-06-26,178.0
120,2020-06-19,181.4
121,2020-06-12,178.08
122,2020-06-05,193.2
123,2020-05-29,162.82
124,2020-05-22,155.5
125,2020-05-15,146.84
126,2020-05-08,157.68
127,2020-04-30,168.88
128,2020-04-24,155.76
129,2020-04-17,163.9
130,2020-04-09,164.88
131,2020-04-03,149.32
132,2020-03-27,153.82
133,2020-03-20,134.74
134,2020-03-13,146.92
135,2020-03-06,188.9
136,2020-02-28,194.8
137,2020-02-21,230.7
138,2020-02-14,231.25
139,2020-02-07,227.7
140,2020-01-31,215.85
141,2020-01-24,220.95
142,2020-01-17,219.65
143,2020-01-10,220.25
144,2020-01-03,219.05
145,2019-12-30,218.4
146,2019-12-27,220.6
147,2019-12-23,220.6
148,2019-12-20,220.75
149,2019-12-13,219.7
150,2019-12-06,217.1
151,2019-11-29,217.35
152,2019-11-22,218.5
153,2019-11-15,218.85
154,2019-11-08,219.0
155,2019-11-01,219.65
156,2019-10-25,221.55
157,2019-10-18,218.1
158,2019-10-11,213.1
159,2019-10-04,206.25
160,2019-09-27,211.85
161,2019-09-20,211.95
162,2019-09-13,212.0
163,2019-09-06,204.3
164,2019-08-30,200.5
165,2019-08-23,197.64
166,2019-08-16,198.64
167,2019-08-09,198.96
168,2019-08-02,204.35
169,2019-07-26,212.15
170,2019-07-19,215.7
171,2019-07-12,216.15
172,2019-07-05,217.15
173,2019-06-28,212.0
174,2019-06-21,212.7
175,2019-06-14,207.4
176,2019-06-07,204.3
177,2019-05-31,198.86
178,2019-05-24,202.0
179,2019-05-17,204.35
180,2019-05-10,198.84
181,2019-05-03,215.05
182,2019-04-26,213.85
183,2019-04-18,214.85
184,2019-04-12,208.3
185,2019-04-05,206.6
186,2019-03-29,198.28
187,2019-03-22,196.34
188,2019-03-15,200.9
189,2019-03-08,195.88
190,2019-03-01,197.34
191,2019-02-22,194.06
192,2019-02-15,190.14
193,2019-02-08,182.72
194,2019-02-01,186.16
195,2019-01-25,185.92
196,2019-01-18,184.0
197,2019-01-11,178.96
198,2019-01-04,177.36
199,2018-12-28,175.14
200,2018-12-21,175.02
201,2018-12-14,176.84
202,2018-12-07,175.38
203,2018-11-30,186.5
204,2018-11-23,184.4
205,2018-11-16,189.24
206,2018-11-09,192.0
207,2018-11-02,184.92
208,2018-10-26,179.26
209,2018-10-19,185.2
210,2018-10-12,181.22
211,2018-10-05,193.04
212,2018-09-28,192.0
213,2018-09-21,192.78
214,2018-09-14,185.9
215,2018-09-07,181.52
216,2018-08-31,183.64
217,2018-08-24,185.5
218,2018-08-17,184.24
219,2018-08-10,185.92
220,2018-08-03,187.4
221,2018-07-27,186.8
222,2018-07-20,181.3
223,2018-07-13,179.9
224,2018-07-06,179.62
225,2018-06-29,177.02
226,2018-06-22,175.72
227,2018-06-15,180.36
228,2018-06-08,178.58
229,2018-06-01,179.66
230,2018-05-25,187.54
231,2018-05-18,191.5
232,2018-05-11,191.54
233,2018-05-04,199.0
234,2018-04-27,194.5
235,2018-04-20,193.54
236,2018-04-13,189.42
237,2018-04-06,186.66
238,2018-03-29,183.4
239,2018-03-23,180.36
240,2018-03-16,188.92
241,2018-03-09,190.02
242,2018-03-02,183.8
243,2018-02-23,191.5
244,2018-02-16,190.6
245,2018-02-09,185.16
246,2018-02-02,200.35
247,2018-01-26,203.9
248,2018-01-19,205.45
249,2018-01-12,202.0
250,2018-01-05,198.56
251,2017-12-29,191.5
252,2017-12-22,195.25
253,2017-12-15,197.15
254,2017-12-08,199.15
255,2017-12-01,195.75
256,2017-11-24,197.95
257,2017-11-17,197.05
258,2017-11-10,199.85
259,2017-11-03,202.85
260,2017-10-27,199.55
261,2017-10-20,197.0
262,2017-10-13,195.55
263,2017-10-06,193.85
264,2017-09-29,189.95
265,2017-09-22,186.7
266,2017-09-15,184.95
267,2017-09-08,180.15
268,2017-09-01,180.95
269,2017-08-25,182.2
270,2017-08-18,182.7
271,2017-08-11,180.15
272,2017-08-04,185.8
273,2017-07-28,180.65
274,2017-07-21,176.85
275,2017-07-14,182.8
276,2017-07-07,178.75
277,2017-06-30,172.4
278,2017-06-23,173.9
279,2017-06-16,174.45
280,2017-06-09,173.85
281,2017-06-02,173.35
282,2017-05-26,171.05
283,2017-05-19,169.8
284,2017-05-12,172.8
285,2017-05-05,173.9
286,2017-04-28,174.8
287,2017-04-21,170.25
288,2017-04-13,170.75
289,2017-04-07,172.55
290,2017-03-31,173.65
291,2017-03-24,169.55
292,2017-03-17,170.4
293,2017-03-10,169.15
294,2017-03-03,167.45
295,2017-02-24,163.75
296,2017-02-17,162.8
297,2017-02-10,156.85
298,2017-02-03,158.3
299,2017-01-27,162.0
300,2017-01-20,159.25
301,2017-01-13,160.8
302,2017-01-06,161.1
303,2016-12-30,157.0
304,2016-12-23,156.95
305,2016-12-16,156.65
306,2016-12-09,157.25
307,2016-12-02,148.3
308,2016-11-25,150.7
309,2016-11-18,150.75
310,2016-11-11,150.8
311,2016-11-04,136.45
312,2016-10-28,141.9
313,2016-10-21,140.0
314,2016-10-14,138.1
315,2016-10-07,135.8
316,2016-09-30,132.1
317,2016-09-23,136.6
318,2016-09-16,130.0
319,2016-09-09,136.55
320,2016-09-02,135.7
321,2016-08-26,129.6
322,2016-08-19,129.1
323,2016-08-12,134.55
324,2016-08-05,126.45
325,2016-07-29,128.3
326,2016-07-22,125.85
327,2016-07-15,128.0
328,2016-07-08,122.45
329,2016-07-01,127.3
330,2016-06-24,126.8
331,2016-06-17,130.35
332,2016-06-10,134.75
333,2016-06-03,142.65
334,2016-05-27,146.75
335,2016-05-20,137.75
336,2016-05-13,137.9
337,2016-05-06,139.35
338,2016-04-29,148.25
339,2016-04-22,155.2
340,2016-04-15,147.55
341,2016-04-08,138.9
342,2016-04-01,140.2
343,2016-03-24,142.6
344,2016-03-18,144.95
345,2016-03-11,144.65
346,2016-03-04,141.15
347,2016-02-26,137.85
348,2016-02-19,134.05
349,2016-02-12,129.0
350,2016-02-05,138.05
351,2016-01-29,148.65
352,2016-01-22,148.15
353,2016-01-15,149.25
354,2016-01-08,151.8
355,2015-12-30,163.55
356,2015-12-23,163.0
357,2015-12-18,161.95
358,2015-12-11,158.35
359,2015-12-04,162.35
360,2015-11-27,167.3
361,2015-11-20,161.7
362,2015-11-13,157.6
363,2015-11-06,157.3
364,2015-10-30,159.35
365,2015-10-23,156.1
366,2015-10-16,148.35
367,2015-10-09,146.3
368,2015-10-02,139.45
369,2015-09-25,138.35
370,2015-09-18,137.0
371,2015-09-11,140.85
372,2015-09-04,139.95
373,2015-08-28,141.9
374,2015-08-21,139.9
375,2015-08-14,152.45
376,2015-08-07,153.25
377,2015-07-31,149.1
378,2015-07-24,152.75
379,2015-07-17,154.15
380,2015-07-10,146.45
381,2015-07-03,141.6
382,2015-06-26,146.5
383,2015-06-19,140.1
384,2015-06-12,142.5
385,2015-06-05,143.1
386,2015-05-29,142.75
387,2015-05-22,152.0
388,2015-05-15,146.95
389,2015-05-08,151.0
390,2015-04-30,152.6
391,2015-04-24,156.05
392,2015-04-17,161.25
393,2015-04-10,169.7
394,2015-04-02,163.5
395,2015-03-27,160.25
396,2015-03-20,161.75
397,2015-03-13,155.5
398,2015-03-06,151.25
399,2015-02-27,149.6
400,2015-02-20,146.6
401,2015-02-13,148.6
402,2015-02-06,149.15
403,2015-01-30,146.4
404,2015-01-23,147.75
405,2015-01-16,142.5
406,2015-01-09,135.85
407,2015-01-02,136.7
408,2014-12-30,137.35
409,2014-12-23,139.7
410,2014-12-19,138.45
411,2014-12-12,134.5
412,2014-12-05,138.85
413,2014-11-28,138.45
414,2014-11-21,135.85
415,2014-11-14,131.2
416,2014-11-07,131.2
417,2014-10-31,126.7
418,2014-10-24,123.05
419,2014-10-17,120.45
420,2014-10-10,122.95
421,2014-10-02,125.3
422,2014-09-26,128.2
423,2014-09-19,138.45
424,2014-09-12,133.05
425,2014-09-05,133.15
426,2014-08-29,129.8
427,2014-08-22,128.25
428,2014-08-15,126.15
429,2014-08-08,121.9
430,2014-08-01,122.7
431,2014-07-25,128.85
432,2014-07-18,129.65
433,2014-07-11,127.7
434,2014-07-04,125.7
435,2014-06-27,121.4
436,2014-06-20,123.0
437,2014-06-13,123.85
438,2014-06-06,123.9
439,2014-05-30,124.4
440,2014-05-23,121.8
441,2014-05-16,121.35
442,2014-05-09,120.85
443,2014-05-02,124.1
444,2014-04-25,121.25
445,2014-04-17,119.05
446,2014-04-11,119.5
447,2014-04-04,123.55
448,2014-03-28,123.0
449,2014-03-21,120.0
450,2014-03-14,120.5
451,2014-03-07,124.2
452,2014-02-28,129.7
453,2014-02-21,129.1
454,2014-02-14,129.65
455,2014-02-07,126.1
456,2014-01-31,123.8
457,2014-01-24,124.75
458,2014-01-17,133.9
459,2014-01-10,129.15
460,2014-01-03,127.9
461,2013-12-30,130.35
462,2013-12-27,130.8
463,2013-12-23,129.65
464,2013-12-20,128.8
465,2013-12-13,122.8
466,2013-12-06,125.2
467,2013-11-29,127.85
468,2013-11-22,126.7
469,2013-11-15,128.15
470,2013-11-08,124.25
471,2013-11-01,123.45
472,2013-10-25,123.6
473,2013-10-18,123.3
474,2013-10-11,119.45
475,2013-10-04,117.4
476,2013-09-27,117.75
477,2013-09-20,116.65
478,2013-09-13,112.75
479,2013-09-06,112.0
480,2013-08-30,108.4
481,2013-08-23,113.55
482,2013-08-16,115.6
483,2013-08-09,118.85
484,2013-08-02,119.85
485,2013-07-26,117.3
486,2013-07-19,117.65
487,2013-07-12,115.95
488,2013-07-05,110.55
489,2013-06-28,112.25
490,2013-06-21,105.5
491,2013-06-14,114.0
492,2013-06-07,116.9
493,2013-05-31,119.75
494,2013-05-24,117.1
495,2013-05-17,119.6
496,2013-05-10,116.85
497,2013-05-03,116.2
498,2013-04-26,111.0
499,2013-04-19,103.65
500,2013-04-12,107.3
501,2013-04-05,105.3
502,2013-03-28,105.95
503,2013-03-22,109.0
504,2013-03-15,112.25
505,2013-03-08,112.2
506,2013-03-01,104.05
507,2013-02-22,104.2
508,2013-02-15,102.3
509,2013-02-08,102.55
510,2013-02-01,105.55
511,2013-01-25,105.2
512,2013-01-18,103.85
513,2013-01-11,105.6
514,2013-01-04,108.2
515,2012-12-28,104.8
516,2012-12-21,105.35
517,2012-12-14,103.75
518,2012-12-07,102.8
519,2012-11-30,99.95
520,2012-11-23,98.12
521,2012-11-16,92.4
522,2012-11-09,93.4
523,2012-11-02,95.67
524,2012-10-26,93.92
525,2012-10-19,95.54
526,2012-10-12,92.03
527,2012-10-05,92.95
528,2012-09-28,92.59
529,2012-09-21,94.98
530,2012-09-14,96.52
531,2012-09-07,92.34
532,2012-08-31,87.27
533,2012-08-24,87.36
534,2012-08-17,87.6
535,2012-08-10,86.55
536,2012-08-03,83.07
537,2012-07-27,79.68
538,2012-07-20,79.86
539,2012-07-13,79.06
540,2012-07-06,77.88
541,2012-06-29,79.11
542,2012-06-22,75.75
543,2012-06-15,74.7
544,2012-06-08,72.44
545,2012-06-01,70.02
546,2012-05-25,75.79
547,2012-05-18,75.31
548,2012-05-11,80.17
549,2012-05-04,83.97
550,2012-04-27,84.98
551,2012-04-20,84.66
552,2012-04-13,81.88
553,2012-04-05,86.68
554,2012-03-30,89.47
555,2012-03-23,91.18
556,2012-03-16,94.0
557,2012-03-09,88.6
558,2012-03-02,91.14
559,2012-02-24,91.17
560,2012-02-17,89.66
561,2012-02-10,86.98
562,2012-02-03,88.52
563,2012-01-27,85.57
564,2012-01-20,83.95
565,2012-01-13,78.05
566,2012-01-06,73.88
567,2011-12-30,73.91
568,2011-12-23,75.97
569,2011-12-16,72.77
570,2011-12-09,79.39
571,2011-12-02,78.72
572,2011-11-25,65.79
573,2011-11-18,72.05
574,2011-11-11,76.25
575,2011-11-04,76.22
576,2011-10-28,83.11
577,2011-10-21,78.56
578,2011-10-14,78.0
579,2011-10-07,76.36
580,2011-09-30,70.86
581,2011-09-23,59.02
582,2011-09-16,66.9
583,2011-09-09,61.44
584,2011-09-02,68.0
585,2011-08-26,66.15
586,2011-08-19,68.8
587,2011-08-12,76.51
588,2011-08-05,79.1
589,2011-07-29,91.06
590,2011-07-22,93.28
591,2011-07-15,89.39
592,2011-07-08,95.48
593,2011-07-01,97.43
594,2011-06-24,91.87
595,2011-06-17,93.69
596,2011-06-10,92.27
597,2011-06-03,92.99
598,2011-05-27,95.45
599,2011-05-20,96.14
600,2011-05-13,98.2
601,2011-05-06,101.85
602,2011-04-29,106.3
603,2011-04-21,102.2
604,2011-04-15,103.3
605,2011-04-08,103.65
606,2011-04-01,100.7
607,2011-03-25,98.77
608,2011-03-18,93.91
609,2011-03-11,99.82
610,2011-03-04,104.65
611,2011-02-25,102.5
612,2011-02-18,108.05
613,2011-02-11,106.5
614,2011-02-04,105.9
615,2011-01-28,100.35
616,2011-01-21,97.75
617,2011-01-14,95.41
618,2011-01-07,90.83
619,2010-12-30,88.93
